M,theta,beta_lower,beta_upper
2.000000,0,30.000000,90.000000
2.000000,1,30.811423,89.399727
2.000000,2,31.646286,88.797809
2.000000,3,32.505536,88.192572
2.000000,4,33.390234,87.582283
2.000000,5,34.301573,86.965115
2.000000,6,35.240915,86.339110
2.000000,7,36.209827,85.702132
2.000000,8,37.210133,85.051815
2.000000,9,38.243981,84.385487
2.000000,10,39.313929,83.700082
2.000000,11,40.423069,82.992017
2.000000,12,41.575190,82.257025
2.000000,13,42.775017,81.489909
2.000000,14,44.028561,80.684217
2.000000,15,45.343617,79.831687
2.000000,16,46.730641,78.921432
2.000000,17,48.204127,77.938527
2.000000,18,49.785132,76.861492
2.000000,19,51.506270,75.657297
2.000000,20,53.422941,74.270137
2.000000,21,55.644290,72.590466
2.000000,22,58.456557,70.331660
3.000000,0,19.471221,90.000000
3.000000,1,20.157558,89.649912
3.000000,2,20.866737,89.299296
3.000000,3,21.598965,88.947619
3.000000,4,22.354419,88.594339
3.000000,5,23.133256,88.238901
3.000000,6,23.935608,87.880730
3.000000,7,24.761599,87.519229
3.000000,8,25.611353,87.153767
3.000000,9,26.484999,86.783678
3.000000,10,27.382690,86.408250
3.000000,11,28.304610,86.026719
3.000000,12,29.250995,85.638253
3.000000,13,30.222146,85.241944
3.000000,14,31.218449,84.836791
3.000000,15,32.240400,84.421682
3.000000,16,33.288627,83.995372
3.000000,17,34.363928,83.556452
3.000000,18,35.467305,83.103314
3.000000,19,36.600015,82.634106
3.000000,20,37.763634,82.146672
3.000000,21,38.960134,81.638469
3.000000,22,40.192001,81.106461
3.000000,23,41.462379,80.546965
3.000000,24,42.775286,79.955450
3.000000,25,44.135927,79.326212
3.000000,26,45.551166,78.651908
3.000000,27,47.030273,77.922806
3.000000,28,48.586178,77.125544
3.000000,29,50.237680,76.240892
3.000000,30,52.013840,75.239388
3.000000,31,53.963656,74.071653
3.000000,32,56.182115,72.642335
3.000000,33,58.908882,70.711426
3.000000,34,63.673174,66.749358
4.000000,0,14.477512,90.000000
4.000000,1,15.131265,89.719941
